label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	category	namespace	recall	track	clade	median_pident
amphioxus.rbh.all	SYN_GO0000902	BP	50	46	0.8348954330861925	amphioxus	rbh	all	specific	biological_process	0.1278195488721804	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0000981	BP	50	43	0.8134068091425154	amphioxus	rbh	all	other	molecular_function	0.3195876288659793	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0001568	BP	50	7	0.4324544107646652	amphioxus	rbh	all	specific	biological_process	0.0126582278481012	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0001756	BP	50	32	0.7590163274276935	amphioxus	rbh	all	specific	biological_process	0.0646900269541779	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0001775	BP	50	0	0.0	amphioxus	rbh	all	specific	biological_process	0.0	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0001947	BP	50	43	0.667537313093245	amphioxus	rbh	all	specific	biological_process	0.1215277777777777	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0002521	BP	50	0	0.0	amphioxus	rbh	all	specific	biological_process	0.0	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0003341	BP	50	49	0.7676704969904006	amphioxus	rbh	all	other	biological_process	0.352112676056338	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0003676	BP	50	50	0.9096015054189144	amphioxus	rbh	all	other	molecular_function	0.225531914893617	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0003677	BP	50	46	0.8524756452808594	amphioxus	rbh	all	other	molecular_function	0.1645021645021645	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0003700	BP	50	50	0.8440299209928469	amphioxus	rbh	all	other	molecular_function	0.3697478991596639	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0003824	BP	50	22	0.6926415485507248	amphioxus	rbh	all	other	molecular_function	0.1403508771929824	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0004888	BP	36	30	0.8207752157525776	amphioxus	rbh	all	other	molecular_function	0.5	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0004930	BP	27	25	0.7482389678250765	amphioxus	rbh	all	other	molecular_function	0.3703703703703703	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0005215	BP	29	49	0.8187869632158725	amphioxus	rbh	all	other	molecular_function	0.6896551724137931	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0005216	BP	19	40	0.7847878634866202	amphioxus	rbh	all	other	molecular_function	0.7368421052631579	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0005634	BP	50	50	0.8855640510065723	amphioxus	rbh	all	other	cellular_component	0.5223880597014925	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0005737	BP	50	1	0.260746791680113	amphioxus	rbh	all	other	cellular_component	0.0066225165562913	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0005856	BP	50	35	0.8409163772209899	amphioxus	rbh	all	other	cellular_component	0.3255813953488372	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0005886	BP	50	46	0.7561215280348215	amphioxus	rbh	all	other	cellular_component	0.125	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0005929	BP	50	44	0.8102286138447538	amphioxus	rbh	all	other	cellular_component	0.28125	fish	fish	50.6
amphioxus.rbh.all	SYN_GO0006139	BP	50	50	0.9138417101414512	amphioxus	rbh	all	conserved	biological_process	0.325	fish	fish	50.6
