label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	track	clade	median_pident	My	recall
amphioxus.rbh.all	SYN_GO0000902	BP	50	46	0.8348954330861925	amphioxus	rbh	all	fish	fish	50.6	650	0.1278195488721804
amphioxus.rbh.all	SYN_GO0000902	CC	0	1	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0000981	BP	50	43	0.8134068091425154	amphioxus	rbh	all	fish	fish	50.6	650	0.3195876288659793
amphioxus.rbh.all	SYN_GO0000981	CC	8	3	0.547434842443087	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0000981	MF	23	23	0.9627941639301906	amphioxus	rbh	all	fish	fish	50.6	650	0.8695652173913043
amphioxus.rbh.all	SYN_GO0001568	BP	50	7	0.4324544107646652	amphioxus	rbh	all	fish	fish	50.6	650	0.0126582278481012
amphioxus.rbh.all	SYN_GO0001568	CC	3	1	0.3375913306587932	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0001568	MF	0	3	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0001756	BP	50	32	0.7590163274276935	amphioxus	rbh	all	fish	fish	50.6	650	0.0646900269541779
amphioxus.rbh.all	SYN_GO0001756	CC	1	2	0.4738561651318753	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0001756	MF	0	3	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0001775	BP	50	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0001947	BP	50	43	0.667537313093245	amphioxus	rbh	all	fish	fish	50.6	650	0.1215277777777777
amphioxus.rbh.all	SYN_GO0001947	CC	0	8	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0001947	MF	6	3	0.4779418588907419	amphioxus	rbh	all	fish	fish	50.6	650	0.0
