track	ref	n_besthit	n_rbh	n_eggnog	rbh_frac	eggnog_frac
fish	carp	23310	19864	22736	0.852	0.975
fish	medaka	21610	14896	20491	0.689	0.948
fish	human	20345	12510	18924	0.615	0.930
fish	celegans	10346	3937	9555	0.381	0.924
mammal	rat	20808	18225	20417	0.876	0.981
mammal	dog	19771	16046	18681	0.812	0.945
mammal	xenopus	17801	13270	15987	0.745	0.898
mammal	gar	17720	12209	15414	0.689	0.870
plant_rice	o_nivara	26892	22124	24396	0.823	0.907
plant_rice	sorghum	23696	16894	22016	0.713	0.929
plant_rice	maize	23473	15908	21568	0.678	0.919
plant_rice	chlamydomonas	7852	3112	6690	0.396	0.852
plant_arabidopsis	brassica_rapa	23793	18648	22432	0.784	0.943
plant_arabidopsis	tomato	21081	11240	18633	0.533	0.884
plant_arabidopsis	selaginella	15947	6347	13203	0.398	0.828
plant_arabidopsis	moss	16122	6528	13299	0.405	0.825
fungi	s_uvarum	5501	5268	5390	0.958	0.980
fungi	z_rouxii	4915	4293	4864	0.873	0.990
fungi	k_lactis	4712	4101	4673	0.870	0.992
fungi	pombe	3167	2433	3066	0.768	0.968
insect	d_yakuba	13166	12833	12531	0.975	0.952
insect	anopheles	8958	6752	8539	0.754	0.953
insect	tribolium	8392	6073	7962	0.724	0.949
insect	apis	7971	5681	7548	0.713	0.947
