ref	aspect	My	median_pident	wang	recall	reliability
carp	MF	50	87.5	0.54	0.54	caution
goldfish	MF	50	87.2	0.53	0.53	caution
sinocyclocheilus	MF	40	86.7	0.54	0.51	caution
astyanax	MF	150	76.5	0.53	0.47	caution
salmon	MF	230	73.1	0.54	0.49	caution
tilapia	MF	230	71.5	0.52	0.46	caution
gar	MF	430	70.4	0.53	0.54	caution
medaka	MF	230	70.4	0.53	0.48	caution
fugu	MF	230	70.3	0.52	0.44	caution
cod	MF	230	69.5	0.52	0.44	caution
chicken	MF	435	64.4	0.55	0.54	caution
coelacanth	MF	430	64.4	0.54	0.48	caution
elephantshark	MF	460	63.3	0.56	0.51	caution
human	MF	435	63.1	0.54	0.54	caution
mouse	MF	435	62.6	0.54	0.55	caution
grasscarp	MF	50	62.4	0.54	0.51	caution
lamprey	MF	600	56.4	0.51	0.33	caution
amphioxus	MF	650	50.6	0.52	0.35	caution
seaurchin	MF	700	48.1	0.5	0.36	caution
fruitfly	MF	700	45.1	0.49	0.32	caution
celegans	MF	700	40.8	0.46	0.24	caution
yeast	MF	1500	38.2	0.3	0.13	unreliable
carp	BP	50	87.5	0.75	0.34	reliable
goldfish	BP	50	87.2	0.76	0.36	reliable
sinocyclocheilus	BP	40	86.7	0.76	0.34	reliable
astyanax	BP	150	76.5	0.76	0.33	reliable
salmon	BP	230	73.1	0.76	0.34	reliable
tilapia	BP	230	71.5	0.76	0.33	reliable
gar	BP	430	70.4	0.77	0.35	reliable
medaka	BP	230	70.4	0.77	0.35	reliable
fugu	BP	230	70.3	0.76	0.33	reliable
cod	BP	230	69.5	0.76	0.32	reliable
chicken	BP	435	64.4	0.75	0.38	reliable
coelacanth	BP	430	64.4	0.72	0.3	reliable
elephantshark	BP	460	63.3	0.71	0.28	reliable
human	BP	435	63.1	0.75	0.43	reliable
mouse	BP	435	62.6	0.74	0.48	reliable
grasscarp	BP	50	62.4	0.75	0.33	reliable
lamprey	BP	600	56.4	0.67	0.25	reliable
amphioxus	BP	650	50.6	0.68	0.23	reliable
seaurchin	BP	700	48.1	0.67	0.21	reliable
fruitfly	BP	700	45.1	0.61	0.21	reliable
celegans	BP	700	40.8	0.53	0.15	caution
yeast	BP	1500	38.2	0.36	0.06	unreliable
carp	CC	50	87.5	0.48	0.39	caution
goldfish	CC	50	87.2	0.48	0.41	caution
sinocyclocheilus	CC	40	86.7	0.49	0.39	caution
astyanax	CC	150	76.5	0.48	0.36	caution
salmon	CC	230	73.1	0.49	0.39	caution
tilapia	CC	230	71.5	0.49	0.35	caution
gar	CC	430	70.4	0.52	0.45	caution
medaka	CC	230	70.4	0.51	0.43	caution
fugu	CC	230	70.3	0.5	0.36	caution
cod	CC	230	69.5	0.49	0.35	caution
chicken	CC	435	64.4	0.51	0.39	caution
coelacanth	CC	430	64.4	0.49	0.35	caution
elephantshark	CC	460	63.3	0.52	0.39	caution
human	CC	435	63.1	0.5	0.43	caution
mouse	CC	435	62.6	0.5	0.42	caution
grasscarp	CC	50	62.4	0.51	0.36	caution
lamprey	CC	600	56.4	0.54	0.39	caution
amphioxus	CC	650	50.6	0.52	0.39	caution
seaurchin	CC	700	48.1	0.49	0.41	caution
fruitfly	CC	700	45.1	0.5	0.43	caution
celegans	CC	700	40.8	0.53	0.35	caution
yeast	CC	1500	38.2	0.34	0.11	unreliable
