ref	aspect	My	median_pident	wang	recall	reliability
s_uvarum	MF	20	84.3	0.78	0.58	reliable
torulaspora	MF	110	59.9	0.67	0.3	reliable
z_rouxii	MF	100	58.5	0.8	0.52	reliable
c_glabrata	MF	80	58.1	0.67	0.35	reliable
k_lactis	MF	110	54.3	0.79	0.53	reliable
k_marxianus	MF	110	54	0.78	0.5	reliable
e_gossypii	MF	120	53.4	0.79	0.53	reliable
c_albicans	MF	200	45.2	0.75	0.51	reliable
yarrowia	MF	300	43.9	0.71	0.43	reliable
aspergillus	MF	450	41.4	0.7	0.42	reliable
neurospora	MF	450	41.3	0.71	0.41	reliable
pombe	MF	550	41.2	0.72	0.51	reliable
magnaporthe	MF	450	41.1	0.73	0.41	reliable
cryptococcus	MF	800	39.9	0.67	0.37	reliable
human	MF	1500	37.8	0.67	0.41	reliable
s_uvarum	BP	20	84.3	0.87	0.47	reliable
torulaspora	BP	110	59.9	0.77	0.28	reliable
z_rouxii	BP	100	58.5	0.85	0.4	reliable
c_glabrata	BP	80	58.1	0.79	0.3	reliable
k_lactis	BP	110	54.3	0.85	0.4	reliable
k_marxianus	BP	110	54	0.85	0.39	reliable
e_gossypii	BP	120	53.4	0.86	0.43	reliable
c_albicans	BP	200	45.2	0.83	0.4	reliable
yarrowia	BP	300	43.9	0.78	0.33	reliable
aspergillus	BP	450	41.4	0.78	0.32	reliable
neurospora	BP	450	41.3	0.76	0.31	reliable
pombe	BP	550	41.2	0.82	0.43	reliable
magnaporthe	BP	450	41.1	0.76	0.28	reliable
cryptococcus	BP	800	39.9	0.71	0.25	reliable
human	BP	1500	37.8	0.72	0.33	reliable
s_uvarum	CC	20	84.3	0.87	0.61	reliable
torulaspora	CC	110	59.9	0.72	0.31	reliable
z_rouxii	CC	100	58.5	0.85	0.54	reliable
c_glabrata	CC	80	58.1	0.75	0.35	reliable
k_lactis	CC	110	54.3	0.85	0.55	reliable
k_marxianus	CC	110	54	0.84	0.54	reliable
e_gossypii	CC	120	53.4	0.86	0.58	reliable
c_albicans	CC	200	45.2	0.83	0.51	reliable
yarrowia	CC	300	43.9	0.81	0.47	reliable
aspergillus	CC	450	41.4	0.78	0.42	reliable
neurospora	CC	450	41.3	0.78	0.41	reliable
pombe	CC	550	41.2	0.8	0.5	reliable
magnaporthe	CC	450	41.1	0.7	0.34	reliable
cryptococcus	CC	800	39.9	0.71	0.32	reliable
human	CC	1500	37.8	0.69	0.36	reliable
