ref	aspect	My	median_pident	wang	recall	reliability
d_simulans	MF	5	96.3	0.69	0.46	reliable
d_yakuba	MF	10	93.1	0.72	0.54	reliable
d_ananassae	MF	25	81	0.71	0.53	reliable
d_virilis	MF	40	73.8	0.71	0.55	reliable
d_grimshawi	MF	50	73.3	0.72	0.54	reliable
aedes	MF	250	55.5	0.72	0.55	reliable
anopheles	MF	250	55.2	0.76	0.58	reliable
tribolium	MF	350	51.3	0.74	0.53	reliable
nasonia	MF	330	50.8	0.71	0.52	reliable
apis	MF	330	50.4	0.71	0.51	reliable
bombyx	MF	350	49.8	0.71	0.5	reliable
daphnia	MF	500	49.1	0.72	0.5	reliable
aphid	MF	400	48.3	0.69	0.47	reliable
mouse	MF	700	44.9	0.7	0.56	reliable
celegans	MF	700	40.6	0.69	0.44	reliable
yeast	MF	1500	37.9	0.51	0.25	caution
d_simulans	BP	5	96.3	0.77	0.23	reliable
d_yakuba	BP	10	93.1	0.78	0.26	reliable
d_ananassae	BP	25	81	0.79	0.27	reliable
d_virilis	BP	40	73.8	0.8	0.29	reliable
d_grimshawi	BP	50	73.3	0.8	0.29	reliable
aedes	BP	250	55.5	0.81	0.31	reliable
anopheles	BP	250	55.2	0.82	0.33	reliable
tribolium	BP	350	51.3	0.8	0.31	reliable
nasonia	BP	330	50.8	0.79	0.28	reliable
apis	BP	330	50.4	0.8	0.29	reliable
bombyx	BP	350	49.8	0.78	0.27	reliable
daphnia	BP	500	49.1	0.77	0.28	reliable
aphid	BP	400	48.3	0.78	0.27	reliable
mouse	BP	700	44.9	0.74	0.43	reliable
celegans	BP	700	40.6	0.74	0.29	reliable
yeast	BP	1500	37.9	0.63	0.21	reliable
d_simulans	CC	5	96.3	0.74	0.33	reliable
d_yakuba	CC	10	93.1	0.74	0.36	reliable
d_ananassae	CC	25	81	0.76	0.38	reliable
d_virilis	CC	40	73.8	0.77	0.4	reliable
d_grimshawi	CC	50	73.3	0.78	0.41	reliable
aedes	CC	250	55.5	0.8	0.45	reliable
anopheles	CC	250	55.2	0.79	0.47	reliable
tribolium	CC	350	51.3	0.8	0.44	reliable
nasonia	CC	330	50.8	0.77	0.4	reliable
apis	CC	330	50.4	0.78	0.42	reliable
bombyx	CC	350	49.8	0.77	0.4	reliable
daphnia	CC	500	49.1	0.78	0.43	reliable
aphid	CC	400	48.3	0.77	0.39	reliable
mouse	CC	700	44.9	0.78	0.58	reliable
celegans	CC	700	40.6	0.78	0.44	reliable
yeast	CC	1500	37.9	0.66	0.27	reliable
