ref	aspect	My	median_pident	wang	recall	reliability
rat	MF	20	94.5	0.8	0.86	reliable
human	MF	90	86.5	0.79	0.75	reliable
dog	MF	95	85.6	0.78	0.66	reliable
horse	MF	95	85.5	0.78	0.64	reliable
pig	MF	95	85.2	0.79	0.66	reliable
rabbit	MF	90	85.2	0.76	0.55	reliable
cow	MF	95	85	0.78	0.64	reliable
opossum	MF	160	77.5	0.77	0.62	reliable
platypus	MF	180	75.6	0.78	0.64	reliable
chicken	MF	320	72.8	0.77	0.61	reliable
anole	MF	320	70.5	0.76	0.57	reliable
xenopus	MF	350	67.4	0.77	0.53	reliable
gar	MF	435	65	0.77	0.55	reliable
zebrafish	MF	435	62.6	0.73	0.44	reliable
lamprey	MF	600	56	0.66	0.34	reliable
amphioxus	MF	650	50.5	0.69	0.4	reliable
seaurchin	MF	700	48	0.65	0.34	reliable
fruitfly	MF	700	45	0.61	0.3	reliable
celegans	MF	700	40.9	0.58	0.28	caution
yeast	MF	1500	37.7	0.5	0.2	caution
rat	BP	20	94.5	0.91	0.88	reliable
human	BP	90	86.5	0.83	0.5	reliable
dog	BP	95	85.6	0.82	0.4	reliable
horse	BP	95	85.5	0.81	0.35	reliable
pig	BP	95	85.2	0.82	0.4	reliable
rabbit	BP	90	85.2	0.82	0.37	reliable
cow	BP	95	85	0.82	0.37	reliable
opossum	BP	160	77.5	0.82	0.38	reliable
platypus	BP	180	75.6	0.81	0.38	reliable
chicken	BP	320	72.8	0.81	0.36	reliable
anole	BP	320	70.5	0.8	0.34	reliable
xenopus	BP	350	67.4	0.79	0.26	reliable
gar	BP	435	65	0.8	0.28	reliable
zebrafish	BP	435	62.6	0.76	0.24	reliable
lamprey	BP	600	56	0.69	0.17	reliable
amphioxus	BP	650	50.5	0.68	0.19	reliable
seaurchin	BP	700	48	0.68	0.18	reliable
fruitfly	BP	700	45	0.66	0.21	reliable
celegans	BP	700	40.9	0.63	0.16	reliable
yeast	BP	1500	37.7	0.58	0.16	caution
rat	CC	20	94.5	0.8	0.77	reliable
human	CC	90	86.5	0.76	0.59	reliable
dog	CC	95	85.6	0.77	0.52	reliable
horse	CC	95	85.5	0.78	0.49	reliable
pig	CC	95	85.2	0.77	0.52	reliable
rabbit	CC	90	85.2	0.78	0.46	reliable
cow	CC	95	85	0.79	0.52	reliable
opossum	CC	160	77.5	0.79	0.5	reliable
platypus	CC	180	75.6	0.78	0.5	reliable
chicken	CC	320	72.8	0.76	0.48	reliable
anole	CC	320	70.5	0.71	0.4	reliable
xenopus	CC	350	67.4	0.71	0.4	reliable
gar	CC	435	65	0.72	0.41	reliable
zebrafish	CC	435	62.6	0.67	0.32	reliable
lamprey	CC	600	56	0.64	0.26	reliable
amphioxus	CC	650	50.5	0.65	0.28	reliable
seaurchin	CC	700	48	0.63	0.25	reliable
fruitfly	CC	700	45	0.61	0.25	reliable
celegans	CC	700	40.9	0.62	0.23	reliable
yeast	CC	1500	37.7	0.56	0.2	caution
