ref	aspect	My	median_pident	wang	recall	reliability
o_rufipogon	MF	1	99.6	0.53	0.53	caution
o_glaberrima	MF	3	99.1	0.53	0.55	caution
o_nivara	MF	2	99	0.54	0.56	caution
o_barthii	MF	3	98.1	0.54	0.54	caution
o_punctata	MF	8	91.9	0.54	0.54	caution
o_brachyantha	MF	15	88	0.53	0.54	caution
leersia	MF	20	84.5	0.53	0.51	caution
brachypodium	MF	50	77.6	0.51	0.48	caution
sorghum	MF	50	77.6	0.54	0.51	caution
maize	MF	50	76.8	0.57	0.59	caution
grape	MF	160	62.8	0.51	0.47	caution
amborella	MF	200	61.8	0.5	0.46	caution
poplar	MF	160	61.8	0.51	0.44	caution
soybean	MF	160	61.3	0.53	0.46	caution
potato	MF	160	60.9	0.52	0.51	caution
arabidopsis	MF	160	60.6	0.52	0.56	caution
tomato	MF	160	60.5	0.54	0.5	caution
selaginella	MF	420	55.9	0.44	0.23	unreliable
marchantia	MF	480	55.3	0.42	0.22	unreliable
moss	MF	480	54.8	0.39	0.25	unreliable
chlamydomonas	MF	1000	46.3	0.33	0.1	unreliable
o_rufipogon	BP	1	99.6	0.71	0.38	reliable
o_glaberrima	BP	3	99.1	0.72	0.35	reliable
o_nivara	BP	2	99	0.73	0.41	reliable
o_barthii	BP	3	98.1	0.7	0.36	reliable
o_punctata	BP	8	91.9	0.72	0.39	reliable
o_brachyantha	BP	15	88	0.72	0.4	reliable
leersia	BP	20	84.5	0.72	0.36	reliable
brachypodium	BP	50	77.6	0.72	0.34	reliable
sorghum	BP	50	77.6	0.71	0.36	reliable
maize	BP	50	76.8	0.78	0.51	reliable
grape	BP	160	62.8	0.74	0.37	reliable
amborella	BP	200	61.8	0.71	0.3	reliable
poplar	BP	160	61.8	0.74	0.37	reliable
soybean	BP	160	61.3	0.73	0.36	reliable
potato	BP	160	60.9	0.69	0.32	reliable
arabidopsis	BP	160	60.6	0.78	0.57	reliable
tomato	BP	160	60.5	0.72	0.34	reliable
selaginella	BP	420	55.9	0.49	0.16	caution
marchantia	BP	480	55.3	0.51	0.13	caution
moss	BP	480	54.8	0.43	0.14	unreliable
chlamydomonas	BP	1000	46.3	0.3	0.05	unreliable
o_rufipogon	CC	1	99.6	0.32	0.23	unreliable
o_glaberrima	CC	3	99.1	0.31	0.21	unreliable
o_nivara	CC	2	99	0.33	0.2	unreliable
o_barthii	CC	3	98.1	0.32	0.21	unreliable
o_punctata	CC	8	91.9	0.33	0.21	unreliable
o_brachyantha	CC	15	88	0.37	0.2	unreliable
leersia	CC	20	84.5	0.36	0.2	unreliable
brachypodium	CC	50	77.6	0.28	0.18	unreliable
sorghum	CC	50	77.6	0.31	0.18	unreliable
maize	CC	50	76.8	0.35	0.21	unreliable
grape	CC	160	62.8	0.54	0.36	caution
amborella	CC	200	61.8	0.53	0.34	caution
poplar	CC	160	61.8	0.58	0.39	caution
soybean	CC	160	61.3	0.56	0.39	caution
potato	CC	160	60.9	0.48	0.3	caution
arabidopsis	CC	160	60.6	0.33	0.15	unreliable
tomato	CC	160	60.5	0.57	0.35	caution
selaginella	CC	420	55.9	0.31	0.16	unreliable
marchantia	CC	480	55.3	0.22	0.1	unreliable
moss	CC	480	54.8	0.44	0.23	unreliable
chlamydomonas	CC	1000	46.3	0.11	0.03	unreliable
