clade	aspect	distance	method	wang	n_ref	reliability
fish	MF	near (>70%)	besthit	0.53	9	caution
fish	MF	near (>70%)	rbh	0.53	9	caution
fish	MF	mid (55-70%)	besthit	0.53	8	caution
fish	MF	mid (55-70%)	rbh	0.54	8	caution
fish	MF	far (<55%)	besthit	0.5	5	caution
fish	MF	far (<55%)	rbh	0.47	5	caution
fish	BP	near (>70%)	besthit	0.75	9	reliable
fish	BP	near (>70%)	rbh	0.76	9	reliable
fish	BP	mid (55-70%)	besthit	0.72	8	reliable
fish	BP	mid (55-70%)	rbh	0.73	8	reliable
fish	BP	far (<55%)	besthit	0.61	5	reliable
fish	BP	far (<55%)	rbh	0.59	5	caution
fish	CC	near (>70%)	besthit	0.5	9	caution
fish	CC	near (>70%)	rbh	0.49	9	caution
fish	CC	mid (55-70%)	besthit	0.49	8	caution
fish	CC	mid (55-70%)	rbh	0.51	8	caution
fish	CC	far (<55%)	besthit	0.47	5	caution
fish	CC	far (<55%)	rbh	0.49	5	caution
fungi	MF	near (>70%)	besthit	0.77	1	reliable
fungi	MF	near (>70%)	rbh	0.78	1	reliable
fungi	MF	mid (55-70%)	besthit	0.71	3	reliable
fungi	MF	mid (55-70%)	rbh	0.71	3	reliable
fungi	MF	far (<55%)	besthit	0.73	11	reliable
fungi	MF	far (<55%)	rbh	0.73	11	reliable
fungi	BP	near (>70%)	besthit	0.87	1	reliable
fungi	BP	near (>70%)	rbh	0.87	1	reliable
fungi	BP	mid (55-70%)	besthit	0.82	3	reliable
fungi	BP	mid (55-70%)	rbh	0.8	3	reliable
fungi	BP	far (<55%)	besthit	0.82	11	reliable
fungi	BP	far (<55%)	rbh	0.79	11	reliable
fungi	CC	near (>70%)	besthit	0.87	1	reliable
fungi	CC	near (>70%)	rbh	0.87	1	reliable
fungi	CC	mid (55-70%)	besthit	0.79	3	reliable
fungi	CC	mid (55-70%)	rbh	0.77	3	reliable
fungi	CC	far (<55%)	besthit	0.82	11	reliable
fungi	CC	far (<55%)	rbh	0.79	11	reliable
insect	MF	near (>70%)	besthit	0.72	5	reliable
insect	MF	near (>70%)	rbh	0.71	5	reliable
insect	MF	mid (55-70%)	besthit	0.75	2	reliable
insect	MF	mid (55-70%)	rbh	0.74	2	reliable
insect	MF	far (<55%)	besthit	0.72	9	reliable
insect	MF	far (<55%)	rbh	0.69	9	reliable
insect	BP	near (>70%)	besthit	0.79	5	reliable
insect	BP	near (>70%)	rbh	0.79	5	reliable
insect	BP	mid (55-70%)	besthit	0.82	2	reliable
insect	BP	mid (55-70%)	rbh	0.82	2	reliable
insect	BP	far (<55%)	besthit	0.78	9	reliable
insect	BP	far (<55%)	rbh	0.76	9	reliable
insect	CC	near (>70%)	besthit	0.76	5	reliable
insect	CC	near (>70%)	rbh	0.76	5	reliable
insect	CC	mid (55-70%)	besthit	0.8	2	reliable
insect	CC	mid (55-70%)	rbh	0.79	2	reliable
insect	CC	far (<55%)	besthit	0.78	9	reliable
insect	CC	far (<55%)	rbh	0.77	9	reliable
mammal	MF	near (>70%)	besthit	0.78	11	reliable
mammal	MF	near (>70%)	rbh	0.78	11	reliable
mammal	MF	mid (55-70%)	besthit	0.76	4	reliable
mammal	MF	mid (55-70%)	rbh	0.73	4	reliable
mammal	MF	far (<55%)	besthit	0.69	5	reliable
mammal	MF	far (<55%)	rbh	0.62	5	reliable
mammal	BP	near (>70%)	besthit	0.82	11	reliable
mammal	BP	near (>70%)	rbh	0.82	11	reliable
mammal	BP	mid (55-70%)	besthit	0.77	4	reliable
mammal	BP	mid (55-70%)	rbh	0.76	4	reliable
mammal	BP	far (<55%)	besthit	0.67	5	reliable
mammal	BP	far (<55%)	rbh	0.65	5	reliable
mammal	CC	near (>70%)	besthit	0.76	11	reliable
mammal	CC	near (>70%)	rbh	0.77	11	reliable
mammal	CC	mid (55-70%)	besthit	0.73	4	reliable
mammal	CC	mid (55-70%)	rbh	0.69	4	reliable
