track	clade	aspect	n	plateau	floor	ID50_interp	ID50_logistic	slope_k	fit_R2	ID50_CI_low	ID50_CI_high	identifiable	method_used	ID50_rep
fish	fish	MF	22	0.557	0.298	40.3	38.2	0.58	0.912	38.2	57.0	False	interp	40.3
fish	fish	BP	22	0.77	0.361	42.6	38.2	0.192	0.945	38.2	60.6	False	interp	42.6
fish	fish	CC	22	0.536	0.343	39.5	38.2	5.0	0.815	38.2	71.3	False	interp	39.5
mammal	mammal	MF	20	0.796	0.502	47.9	37.7	0.094	0.961	37.7	61.3	False	interp	47.9
mammal	mammal	BP	20	0.87	0.58	58.9	37.7	0.054	0.942	37.7	60.9	False	interp	58.9
mammal	mammal	CC	20	0.798	0.557	62.8	59.3	0.084	0.944	37.7	68.1	False	interp	62.8
plant_rice	plant	MF	21	0.557	0.331	56.1	55.9	0.482	0.939	54.7	56.7	True	logistic	55.9
plant_rice	plant	BP	21	0.776	0.304	56.9	55.8	0.792	0.964	54.8	59.3	True	logistic	55.8
plant_rice	plant	CC	21	0.577	0.112	52.3	53.5	0.719	0.266	47.4	76.5	False	interp	52.3
plant_arabidopsis	plant	MF	17	0.73	0.472	58.8	58.3	0.261	0.957	54.3	60.8	True	logistic	58.3
plant_arabidopsis	plant	BP	17	0.758	0.48	56.9	54.6	0.172	0.98	49.1	60.4	True	logistic	54.6
plant_arabidopsis	plant	CC	17	0.678	0.511	58.5	64.0	0.126	0.833	48.4	84.8	False	interp	58.5
fungi	fungi	MF	15	0.795	0.665	41.0	39.9	0.399	0.338	37.8	84.2	False	interp	41.0
fungi	fungi	BP	15	0.867	0.707	41.1	40.5	0.52	0.632	37.8	47.3	True	logistic	40.5
fungi	fungi	CC	15	0.865	0.687	41.2	41.2	5.0	0.526	37.8	59.8	False	interp	41.2
insect	insect	MF	16	0.749	0.513	39.7	37.9	1.031	0.908	37.9	50.9	False	interp	39.7
insect	insect	BP	16	0.816	0.628	40.1	37.9	0.45	0.86	37.9	49.9	False	interp	40.1
insect	insect	CC	16	0.797	0.665	39.5	37.9	3.561	0.717	37.9	83.6	False	interp	39.5
