track	aspect	universe	median_setsize	null_rand_rand_mean	null_rand_rand_p95	null_truth_rand_mean	null_truth_rand_p95	floor	floor_minus_truthrand
fish	BP	1167	50	0.523	0.591	0.485	0.585	0.361	-0.124
fish	MF	191	10	0.445	0.694	0.459	0.684	0.298	-0.161
fish	CC	103	9	0.578	0.784	0.608	0.8	0.343	-0.265
mammal	BP	2317	50	0.478	0.522	0.426	0.505	0.58	0.154
mammal	MF	849	27	0.444	0.585	0.443	0.571	0.502	0.059
mammal	CC	603	23	0.512	0.681	0.542	0.68	0.557	0.015
plant_rice	BP	488	50	0.58	0.684	0.505	0.614	0.304	-0.201
plant_rice	MF	124	9	0.485	0.696	0.473	0.706	0.331	-0.142
plant_rice	CC	70	6	0.566	0.761	0.642	0.893	0.112	-0.53
plant_arabidopsis	BP	1623	50	0.499	0.565	0.447	0.538	0.48	0.033
plant_arabidopsis	MF	638	18	0.427	0.572	0.428	0.594	0.472	0.044
plant_arabidopsis	CC	301	15	0.527	0.713	0.55	0.718	0.511	-0.039
fungi	BP	1521	50	0.532	0.592	0.477	0.58	0.707	0.23
fungi	MF	638	32	0.475	0.615	0.475	0.602	0.665	0.19
fungi	CC	527	34	0.599	0.709	0.593	0.693	0.687	0.094
insect	BP	1771	50	0.5	0.554	0.453	0.54	0.628	0.175
insect	MF	532	24	0.456	0.611	0.459	0.611	0.513	0.054
insect	CC	494	32	0.564	0.708	0.575	0.698	0.665	0.09
