ref	wang_real	wang_random_mean	wang_random_sd
amphioxus	0.6586422964024804	0.226224192356366	0.05641104962326831
astyanax	0.7289216699422744	0.19019457501236453	0.03940887332429017
carp	0.7322852305103622	0.19291832135552778	0.020049766675562124
celegans	0.519801846353332	0.1979143070726311	0.04937715559565793
chicken	0.7339236185592796	0.18128081643094252	0.03093852507267006
cod	0.7346685547424606	0.19542290837141152	0.020324340128174315
coelacanth	0.7054008015182339	0.20807067023905218	0.04601468746175827
elephantshark	0.6994028040299773	0.21743458316666936	0.08231756715761192
fruitfly	0.5999680138508653	0.18987741578304135	0.02724397590395517
fugu	0.7269049089385587	0.20154658522842026	0.04510634935575796
gar	0.7436769530904401	0.1895994993098385	0.03388987445101088
goldfish	0.7317179332108016	0.1942021331796111	0.01837985074034993
grasscarp	0.720707916014659	0.18084854232807956	0.0602474486371391
human	0.7216365091718853	0.15293482181488463	0.02465922068289049
lamprey	0.6532805163708103	0.23542796455706377	0.09452562944142062
medaka	0.7417711661418689	0.2577212003383682	0.13500602362812406
mouse	0.7136000725172742	0.18739387223443732	0.017963856378188273
salmon	0.7367471697377408	0.19819255415080064	0.08117561887474276
seaurchin	0.6415197828425057	0.2077785299400084	0.050873265032006586
sinocyclocheilus	0.7358966526869006	0.21384757268432503	0.08976997807723915
tilapia	0.7340801092600941	0.20480253556646816	0.03128252090378654
yeast	0.3452985422122588	0.25301565670917686	0.06598150544601757
