ref	wang_real	wang_random_mean	wang_random_sd
aspergillus	0.7745638551877814	0.21558141686822418	0.06411645319013239
c_albicans	0.8030323097932143	0.2160656694129271	0.06017521103724425
c_glabrata	0.7615125248920582	0.21909612668150208	0.06002985230049112
cryptococcus	0.703819320029962	0.24287074571228726	0.0919771731366297
e_gossypii	0.8431079418291171	0.24478138725549195	0.037043064603631666
human	0.7133203897779123	0.18294024567463796	0.030603748131360242
k_lactis	0.8281045114734187	0.20958267388323076	0.03607224821700205
k_marxianus	0.8317240888996985	0.19611290748538077	0.04423476198734056
magnaporthe	0.7560219444959695	0.2079856198774867	0.07962514113161684
neurospora	0.7573162753832169	0.2115725075293619	0.013445999153771003
pombe	0.8095765107146012	0.20266259669682843	0.038482521517112164
s_uvarum	0.8551161615642935	0.30334028209997066	0.1085483034656487
torulaspora	0.7589968177250525	0.23569295414088137	0.03329592842680823
yarrowia	0.776237600374047	0.24550020903836955	0.07612989238910545
z_rouxii	0.8373074436619232	0.2450707134886589	0.07953001380991084
