ref	wang_real	wang_random_mean	wang_random_sd
aedes	0.787628769371396	0.20656414922227465	0.05371119498174419
anopheles	0.7950003338971614	0.19797870085592226	0.04365959644745296
aphid	0.761435824039994	0.17128566369477655	0.03414317488467221
apis	0.7708689072274425	0.17485982456981225	0.033031942681971536
bombyx	0.7533371522307755	0.22384019482903775	0.059417388340066116
celegans	0.7269263250450064	0.1960187907606734	0.04260114098677698
d_ananassae	0.7773562893581434	0.22130954961791965	0.09378021109872334
d_grimshawi	0.7746028766443213	0.17560241186827796	0.048103064098622986
d_simulans	0.7397967959744989	0.19296361102392545	0.06380183331623912
d_virilis	0.7730958847581282	0.19177571579161093	0.03655404426999631
d_yakuba	0.7678654824801028	0.2372441668936532	0.05797624151680009
daphnia	0.7512076618225034	0.17939593721294095	0.030615323061212434
mouse	0.7224180114496046	0.1814617128525885	0.09578101972084974
nasonia	0.7688096245281454	0.1921588407785443	0.03137932456106676
tribolium	0.7773243508134341	0.18675009985521532	0.05509606030092087
yeast	0.6157043872648469	0.21156401683992526	0.01923841978304181
