ref	wang_real	wang_random_mean	wang_random_sd
amphioxus	0.677152192438216	0.20519908842003926	0.02569499833578612
anole	0.801309468904364	0.18015375805062042	0.034337172360663144
celegans	0.624378588841022	0.2355021229239905	0.06836289327666628
chicken	0.8088151166802986	0.1845280639490613	0.028091866132925736
cow	0.8164668900405443	0.1811030505215229	0.07836943247265982
dog	0.8228023829532058	0.15528477604069016	0.014282827111832713
fruitfly	0.6494393918301942	0.16935887552978	0.03070664649543905
gar	0.7948465333052007	0.15678719383385634	0.029895293357505445
horse	0.8132774424495738	0.167194153053841	0.011595469070109169
human	0.830270139404326	0.13222396718276969	0.023560988678333044
lamprey	0.6901717653091065	0.17484601120898835	0.03595827294824334
opossum	0.8145329683212353	0.16001762310630427	0.01776461826322068
pig	0.8232360138993288	0.17806649034394662	0.04738360837801691
platypus	0.8086148350804343	0.1662621241634133	0.028040375564797205
rabbit	0.816520347213095	0.16689813759298017	0.017574006978115154
rat	0.9078751331807365	0.17277823374881493	0.030279339313149183
seaurchin	0.6716046728938886	0.20640133539587668	0.024778244788329042
xenopus	0.7904194350646487	0.16693510711770368	0.06522286458054884
yeast	0.5593518659209993	0.24987375067460982	0.037963375499594575
zebrafish	0.7603985362986116	0.17989156387900274	0.03740420585493744
