ref	wang_real	wang_random_mean	wang_random_sd
a_halleri	0.7028292443589123	0.21332628519386412	0.026340239595005414
amborella	0.6424934404492706	0.2438204613029249	0.024584489177885954
brassica_oleracea	0.7292720967801689	0.20518978495963597	0.024280159680498136
brassica_rapa	0.723259407842969	0.21207357626894394	0.02431291836922075
camelina	0.7412161177286385	0.17124200546572357	0.009235203364957175
capsella	0.7415420537872555	0.196521803450533	0.017058412598048783
chlamydomonas	0.46145530759986864	0.24338805418008852	0.024515709332832123
grape	0.6764420252892395	0.2088643025083468	0.028196689032431728
maize	0.635307990925556	0.20669000058392192	0.04311946021812008
marchantia	0.5630084521988946	0.23400002282599175	0.04765229224873858
moss	0.5624479393816098	0.16368315540918854	0.01665471228732027
poplar	0.6893582074012113	0.21158297032614684	0.056887957565265566
potato	0.6554260388746247	0.21119272270606393	0.013084834254029301
rice	0.6532351165663015	0.22318906479486006	0.03118594955723408
selaginella	0.5688537239856001	0.21237636761570497	0.06483165351027746
soybean	0.6829095397532269	0.2205970385634572	0.06384607499344308
tomato	0.6720559778789016	0.24152468139763966	0.05454401713639978
