ref	wang_real	wang_random_mean	wang_random_sd
amborella	0.6501222902912099	0.19066333305565147	0.04774008277724256
arabidopsis	0.7178853364634643	0.2126767735305736	0.05456426626227218
brachypodium	0.6593209436437654	0.23747449356376893	0.07720253535273904
chlamydomonas	0.2644939789143675	0.22678396221644279	0.08816509043438368
grape	0.6609617695479346	0.17019294012873376	0.049812793258972636
leersia	0.6617234806423715	0.23873369143648343	0.1447123946686722
maize	0.7048106278692428	0.204739879908181	0.08954010357689793
marchantia	0.45336530178775564	0.27723572294805343	0.04329734072128018
moss	0.39231198529376426	0.2070076262574939	0.02359923131855126
o_barthii	0.6446159586742671	0.20282701172941425	0.07300018841675605
o_brachyantha	0.6560117044576451	0.15667933958539296	0.05436047251299592
o_glaberrima	0.654254308639274	0.24121866188353708	0.10684026227867918
o_nivara	0.6652876062504509	0.23144994692418788	0.04757014473962111
o_punctata	0.6557723561085638	0.249115032888411	0.06382490450890252
o_rufipogon	0.6518928701975999	0.24955892848057	0.1359810569432041
poplar	0.6855588375285927	0.26195539062848305	0.13191397978216007
potato	0.6399495778358469	0.16876269353024737	0.04046929496432347
selaginella	0.43953913890596136	0.14189136921724538	0.06464380617776513
sorghum	0.6507411770877901	0.26204538298888513	0.10820422947669113
soybean	0.662975356031843	0.3239686816279289	0.1513550461946317
tomato	0.6747078726081672	0.17528997817128902	0.07722680084140784
