track	ref	list_id	namespace	category	n_genes	n_mapped	frac_mapped	med_pident_genes
mammal	amphioxus	SYN_GO0141187	biological_process	conserved	245	146	0.5959	52.4
mammal	amphioxus	SYN_GO0044283	biological_process	conserved	215	140	0.6512	57.8
mammal	amphioxus	SYN_GO0090407	biological_process	conserved	176	119	0.6761	60.0
mammal	amphioxus	SYN_GO0032446	biological_process	conserved	154	79	0.513	54.6
mammal	amphioxus	SYN_GO0006281	biological_process	conserved	140	91	0.65	50.4
mammal	amphioxus	SYN_GO0006790	biological_process	conserved	131	88	0.6718	57.4
mammal	amphioxus	SYN_GO0006511	biological_process	conserved	125	72	0.576	57.55
mammal	amphioxus	SYN_GO0046394	biological_process	conserved	114	71	0.6228	56.5
mammal	amphioxus	SYN_GO0043583	biological_process	specific	246	96	0.3902	47.55
mammal	amphioxus	SYN_GO0045087	biological_process	specific	216	59	0.2731	48.3
mammal	amphioxus	SYN_GO0001525	biological_process	specific	185	65	0.3514	50.9
mammal	amphioxus	SYN_GO0060041	biological_process	specific	162	72	0.4444	47.2
mammal	amphioxus	SYN_GO0007292	biological_process	specific	146	63	0.4315	49.9
mammal	amphioxus	SYN_GO0007605	biological_process	specific	134	57	0.4254	47.8
mammal	amphioxus	SYN_GO0016358	biological_process	specific	123	63	0.5122	51.1
mammal	amphioxus	SYN_GO0021782	biological_process	specific	115	45	0.3913	50.9
mammal	amphioxus	SYN_GO0098771	biological_process	other	250	103	0.412	48.7
mammal	amphioxus	SYN_GO0071396	biological_process	other	216	80	0.3704	49.75
mammal	amphioxus	SYN_GO0098609	biological_process	other	193	49	0.2539	45.6
mammal	amphioxus	SYN_GO0007005	biological_process	other	174	102	0.5862	53.1
mammal	amphioxus	SYN_GO0050670	biological_process	other	156	36	0.2308	44.0
mammal	amphioxus	SYN_GO0046942	biological_process	other	141	72	0.5106	52.1
mammal	amphioxus	SYN_GO1903311	biological_process	other	126	54	0.4286	56.95
mammal	amphioxus	SYN_GO0045936	biological_process	other	118	46	0.3898	48.9
mammal	amphioxus	SYN_GO0009259	biological_process	conserved	102	63	0.6176	59.4
mammal	amphioxus	SYN_GO0006412	biological_process	conserved	97	80	0.8247	71.2
mammal	amphioxus	SYN_GO1901293	biological_process	conserved	92	65	0.7065	62.8
mammal	amphioxus	SYN_GO0019318	biological_process	conserved	84	49	0.5833	60.7
mammal	amphioxus	SYN_GO0072330	biological_process	conserved	76	41	0.5395	54.9
mammal	amphioxus	SYN_GO0043161	biological_process	conserved	73	43	0.589	58.4
mammal	amphioxus	SYN_GO0072593	biological_process	conserved	69	40	0.5797	50.65
mammal	amphioxus	SYN_GO0016051	biological_process	conserved	65	35	0.5385	65.0
mammal	amphioxus	SYN_GO0007498	biological_process	specific	102	45	0.4412	58.0
mammal	amphioxus	SYN_GO0061008	biological_process	specific	95	48	0.5053	50.35
mammal	amphioxus	SYN_GO0048588	biological_process	specific	90	36	0.4	53.9
mammal	amphioxus	SYN_GO0001704	biological_process	specific	83	40	0.4819	51.05
mammal	amphioxus	SYN_GO0048663	biological_process	specific	76	35	0.4605	54.4
mammal	amphioxus	SYN_GO0002062	biological_process	specific	72	29	0.4028	45.9
mammal	amphioxus	SYN_GO0050885	biological_process	specific	68	35	0.5147	46.9
mammal	amphioxus	SYN_GO0021695	biological_process	specific	64	36	0.5625	53.95
mammal	amphioxus	SYN_GO0031345	biological_process	other	103	33	0.3204	52.8
mammal	amphioxus	SYN_GO0009612	biological_process	other	95	42	0.4421	44.3
mammal	amphioxus	SYN_GO0030278	biological_process	other	90	32	0.3556	45.65
mammal	amphioxus	SYN_GO0043409	biological_process	other	83	24	0.2892	48.7
mammal	amphioxus	SYN_GO0030010	biological_process	other	78	29	0.3718	45.8
mammal	amphioxus	SYN_GO0035082	biological_process	other	72	57	0.7917	45.5
mammal	amphioxus	SYN_GO0002637	biological_process	other	67	22	0.3284	44.55
mammal	amphioxus	SYN_GO2000106	biological_process	other	63	16	0.254	38.35
mammal	amphioxus	SYN_GO0072523	biological_process	conserved	59	39	0.661	52.3
mammal	amphioxus	SYN_GO0009144	biological_process	conserved	55	32	0.5818	58.6
mammal	amphioxus	SYN_GO0006195	biological_process	conserved	53	34	0.6415	55.45
mammal	amphioxus	SYN_GO0018212	biological_process	conserved	51	18	0.3529	49.0
mammal	amphioxus	SYN_GO0001676	biological_process	conserved	48	22	0.4583	47.25
mammal	amphioxus	SYN_GO0009123	biological_process	conserved	45	34	0.7556	61.15
mammal	amphioxus	SYN_GO0009308	biological_process	conserved	43	24	0.5581	52.1
mammal	amphioxus	SYN_GO0001523	biological_process	conserved	41	19	0.4634	50.7
mammal	amphioxus	SYN_GO0019226	biological_process	specific	60	22	0.3667	45.1
mammal	amphioxus	SYN_GO0035315	biological_process	specific	57	28	0.4912	48.25
mammal	amphioxus	SYN_GO0008286	biological_process	specific	54	24	0.4444	53.65
mammal	amphioxus	SYN_GO0045446	biological_process	specific	51	18	0.3529	48.6
mammal	amphioxus	SYN_GO0035710	biological_process	specific	49	14	0.2857	51.4
mammal	amphioxus	SYN_GO0007143	biological_process	specific	46	25	0.5435	43.4
mammal	amphioxus	SYN_GO0003382	biological_process	specific	43	13	0.3023	38.5
mammal	amphioxus	SYN_GO0043491	biological_process	specific	41	21	0.5122	46.9
mammal	amphioxus	SYN_GO1904375	biological_process	other	60	30	0.5	52.45
mammal	amphioxus	SYN_GO0015748	biological_process	other	56	25	0.4464	55.5
mammal	amphioxus	SYN_GO0042130	biological_process	other	54	11	0.2037	42.4
mammal	amphioxus	SYN_GO0001906	biological_process	other	51	15	0.2941	50.6
mammal	amphioxus	SYN_GO0006282	biological_process	other	48	25	0.5208	50.5
mammal	amphioxus	SYN_GO0031032	biological_process	other	45	19	0.4222	45.5
mammal	amphioxus	SYN_GO0045682	biological_process	other	43	14	0.3256	48.55
mammal	amphioxus	SYN_GO0032481	biological_process	other	41	14	0.3415	39.35
mammal	amphioxus	SYN_GO0046873	molecular_function	other	247	95	0.3846	48.2
mammal	amphioxus	SYN_GO0030545	molecular_function	other	192	32	0.1667	47.0
mammal	amphioxus	SYN_GO0019901	molecular_function	other	179	80	0.4469	52.1
mammal	amphioxus	SYN_GO0042578	molecular_function	other	168	93	0.5536	50.1
mammal	amphioxus	SYN_GO0019787	molecular_function	other	158	72	0.4557	50.0
mammal	amphioxus	SYN_GO0016818	molecular_function	other	134	90	0.6716	59.55
mammal	amphioxus	SYN_GO1901265	molecular_function	other	125	72	0.576	56.85
mammal	amphioxus	SYN_GO0003779	molecular_function	other	113	37	0.3274	50.7
mammal	amphioxus	SYN_GO0032555	molecular_function	other	99	55	0.5556	57.9
mammal	amphioxus	SYN_GO0003729	molecular_function	other	93	44	0.4731	55.95
mammal	amphioxus	SYN_GO0016829	molecular_function	other	85	60	0.7059	58.2
mammal	amphioxus	SYN_GO0003713	molecular_function	other	80	29	0.3625	55.9
mammal	amphioxus	SYN_GO0003735	molecular_function	other	77	69	0.8961	78.6
mammal	amphioxus	SYN_GO0015079	molecular_function	other	71	23	0.3239	49.2
mammal	amphioxus	SYN_GO0051020	molecular_function	other	67	31	0.4627	46.5
mammal	amphioxus	SYN_GO0005539	molecular_function	other	64	18	0.2812	44.65
mammal	amphioxus	SYN_GO0016810	molecular_function	other	59	40	0.678	58.15
mammal	amphioxus	SYN_GO0008234	molecular_function	other	56	24	0.4286	48.5
mammal	amphioxus	SYN_GO0046982	molecular_function	other	53	16	0.3019	48.25
mammal	amphioxus	SYN_GO0141108	molecular_function	other	49	18	0.3673	50.05
mammal	amphioxus	SYN_GO0016782	molecular_function	other	47	18	0.383	58.85
mammal	amphioxus	SYN_GO0044325	molecular_function	other	45	14	0.3111	51.6
mammal	amphioxus	SYN_GO0051213	molecular_function	other	43	23	0.5349	50.5
mammal	amphioxus	SYN_GO0000287	molecular_function	other	41	28	0.6829	54.25
mammal	amphioxus	SYN_GO0032279	cellular_component	other	250	94	0.376	52.9
mammal	amphioxus	SYN_GO0014069	cellular_component	other	236	87	0.3686	53.1
mammal	amphioxus	SYN_GO1990234	cellular_component	other	220	148	0.6727	56.0
mammal	amphioxus	SYN_GO0036126	cellular_component	other	195	106	0.5436	47.35
mammal	amphioxus	SYN_GO0035770	cellular_component	other	152	83	0.5461	56.8
mammal	amphioxus	SYN_GO0150034	cellular_component	other	135	58	0.4296	50.85
mammal	amphioxus	SYN_GO0005813	cellular_component	other	125	71	0.568	55.6
mammal	amphioxus	SYN_GO0043235	cellular_component	other	120	30	0.25	44.2
mammal	amphioxus	SYN_GO0098685	cellular_component	other	109	50	0.4587	53.85
mammal	amphioxus	SYN_GO0097733	cellular_component	other	96	44	0.4583	46.45
mammal	amphioxus	SYN_GO0005770	cellular_component	other	90	49	0.5444	50.0
mammal	amphioxus	SYN_GO0000775	cellular_component	other	85	39	0.4588	48.1
mammal	amphioxus	SYN_GO0005765	cellular_component	other	79	48	0.6076	49.6
mammal	amphioxus	SYN_GO0043296	cellular_component	other	72	15	0.2083	40.4
mammal	amphioxus	SYN_GO0031594	cellular_component	other	69	24	0.3478	54.85
mammal	amphioxus	SYN_GO0000792	cellular_component	other	66	25	0.3788	55.7
mammal	amphioxus	SYN_GO0048786	cellular_component	other	62	26	0.4194	52.8
mammal	amphioxus	SYN_GO0001917	cellular_component	other	57	23	0.4035	42.9
mammal	amphioxus	SYN_GO0030863	cellular_component	other	53	16	0.3019	55.3
mammal	amphioxus	SYN_GO0022625	cellular_component	other	51	42	0.8235	77.35
mammal	amphioxus	SYN_GO0030135	cellular_component	other	49	27	0.551	59.0
mammal	amphioxus	SYN_GO0045111	cellular_component	other	46	9	0.1957	42.6
mammal	amphioxus	SYN_GO0097225	cellular_component	other	43	21	0.4884	55.6
mammal	amphioxus	SYN_GO0031461	cellular_component	other	41	30	0.7317	62.35
mammal	anole	SYN_GO0141187	biological_process	conserved	245	190	0.7755	71.65
mammal	anole	SYN_GO0044283	biological_process	conserved	215	175	0.814	75.0
mammal	anole	SYN_GO0090407	biological_process	conserved	176	145	0.8239	77.9
mammal	anole	SYN_GO0032446	biological_process	conserved	154	116	0.7532	78.05
mammal	anole	SYN_GO0006281	biological_process	conserved	140	102	0.7286	62.5
mammal	anole	SYN_GO0006790	biological_process	conserved	131	101	0.771	74.6
mammal	anole	SYN_GO0006511	biological_process	conserved	125	102	0.816	81.25
mammal	anole	SYN_GO0046394	biological_process	conserved	114	89	0.7807	75.9
mammal	anole	SYN_GO0043583	biological_process	specific	246	187	0.7602	73.0
mammal	anole	SYN_GO0045087	biological_process	specific	216	124	0.5741	64.65
mammal	anole	SYN_GO0001525	biological_process	specific	185	146	0.7892	77.4
mammal	anole	SYN_GO0060041	biological_process	specific	162	125	0.7716	73.3
mammal	anole	SYN_GO0007292	biological_process	specific	146	102	0.6986	68.85
mammal	anole	SYN_GO0007605	biological_process	specific	134	105	0.7836	71.3
mammal	anole	SYN_GO0016358	biological_process	specific	123	100	0.813	79.05
mammal	anole	SYN_GO0021782	biological_process	specific	115	88	0.7652	72.35
mammal	anole	SYN_GO0098771	biological_process	other	250	195	0.78	72.1
mammal	anole	SYN_GO0071396	biological_process	other	216	151	0.6991	72.2
mammal	anole	SYN_GO0098609	biological_process	other	193	142	0.7358	73.45
mammal	anole	SYN_GO0007005	biological_process	other	174	133	0.7644	74.8
mammal	anole	SYN_GO0050670	biological_process	other	156	90	0.5769	63.25
mammal	anole	SYN_GO0046942	biological_process	other	141	115	0.8156	74.8
mammal	anole	SYN_GO1903311	biological_process	other	126	89	0.7063	80.3
mammal	anole	SYN_GO0045936	biological_process	other	118	86	0.7288	74.15
mammal	anole	SYN_GO0009259	biological_process	conserved	102	80	0.7843	78.0
mammal	anole	SYN_GO0006412	biological_process	conserved	97	83	0.8557	91.7
mammal	anole	SYN_GO1901293	biological_process	conserved	92	76	0.8261	78.5
mammal	anole	SYN_GO0019318	biological_process	conserved	84	73	0.869	80.0
mammal	anole	SYN_GO0072330	biological_process	conserved	76	59	0.7763	73.6
mammal	anole	SYN_GO0043161	biological_process	conserved	73	61	0.8356	81.4
mammal	anole	SYN_GO0072593	biological_process	conserved	69	48	0.6957	69.35
mammal	anole	SYN_GO0016051	biological_process	conserved	65	56	0.8615	80.1
mammal	anole	SYN_GO0007498	biological_process	specific	102	68	0.6667	81.45
mammal	anole	SYN_GO0061008	biological_process	specific	95	80	0.8421	67.8
mammal	anole	SYN_GO0048588	biological_process	specific	90	66	0.7333	75.4
mammal	anole	SYN_GO0001704	biological_process	specific	83	61	0.7349	79.7
mammal	anole	SYN_GO0048663	biological_process	specific	76	54	0.7105	76.9
mammal	anole	SYN_GO0002062	biological_process	specific	72	56	0.7778	79.0
mammal	anole	SYN_GO0050885	biological_process	specific	68	52	0.7647	71.35
mammal	anole	SYN_GO0021695	biological_process	specific	64	57	0.8906	75.5
mammal	anole	SYN_GO0031345	biological_process	other	103	82	0.7961	75.9
mammal	anole	SYN_GO0009612	biological_process	other	95	72	0.7579	73.2
mammal	anole	SYN_GO0030278	biological_process	other	90	70	0.7778	74.55
mammal	anole	SYN_GO0043409	biological_process	other	83	62	0.747	74.3
mammal	anole	SYN_GO0030010	biological_process	other	78	61	0.7821	72.0
mammal	anole	SYN_GO0035082	biological_process	other	72	53	0.7361	57.5
mammal	anole	SYN_GO0002637	biological_process	other	67	44	0.6567	60.8
mammal	anole	SYN_GO2000106	biological_process	other	63	39	0.619	69.4
mammal	anole	SYN_GO0072523	biological_process	conserved	59	47	0.7966	68.9
mammal	anole	SYN_GO0009144	biological_process	conserved	55	39	0.7091	75.1
mammal	anole	SYN_GO0006195	biological_process	conserved	53	43	0.8113	70.8
mammal	anole	SYN_GO0018212	biological_process	conserved	51	33	0.6471	75.9
mammal	anole	SYN_GO0001676	biological_process	conserved	48	24	0.5	72.0
mammal	anole	SYN_GO0009123	biological_process	conserved	45	39	0.8667	78.7
mammal	anole	SYN_GO0009308	biological_process	conserved	43	35	0.814	74.4
