track	aspect	n	method_used	ID50_rep	id50_recomputed	id50_lo	id50_hi	floor	floor_recomputed	floor_lo	floor_hi
fish	MF	22	interp	40.3	40.3	40.2	60.1	0.298	0.298	0.298	0.5
fish	BP	22	interp	42.6	42.6	42.3	59.7	0.361	0.361	0.361	0.667
fish	CC	22	interp	39.5	39.5	39.4	61.5	0.343	0.343	0.343	0.482
mammal	MF	20	interp	47.9	47.9	46.9	61.5	0.502	0.502	0.502	0.65
mammal	BP	20	interp	58.9	58.9	53.0	64.5	0.58	0.58	0.58	0.679
mammal	CC	20	interp	62.8	62.8	56.6	69.7	0.557	0.557	0.557	0.629
plant_rice	MF	21	logistic	55.9	55.9	54.7	56.7	0.331	0.327	0.232	0.352
plant_rice	BP	21	logistic	55.8	55.8	54.8	60.5	0.304	0.307	0.16	0.504
plant_rice	CC	21	interp	52.3	52.3	51.9	60.8	0.112	0.112	0.112	0.307
plant_arabidopsis	MF	17	logistic	58.3	58.3	54.3	61.2	0.472	0.462	0.319	0.519
plant_arabidopsis	BP	17	logistic	54.6	54.6	49.8	58.1	0.48	0.422	0.304	0.497
plant_arabidopsis	CC	17	interp	58.5	58.5	57.4	74.9	0.511	0.511	0.511	0.528
fungi	MF	15	interp	41.0	41.0	40.7	46.6	0.665	0.665	0.665	0.673
fungi	BP	15	logistic	40.5	40.5	37.8	50.0	0.707	0.679	0.568	0.785
fungi	CC	15	interp	41.2	41.2	40.5	43.2	0.687	0.687	0.687	0.719
insect	MF	16	interp	39.7	39.7	39.5	51.9	0.513	0.513	0.513	0.695
insect	BP	16	interp	40.1	40.1	39.9	50.0	0.628	0.628	0.628	0.768
insect	CC	16	interp	39.5	39.5	39.4	80.1	0.665	0.665	0.665	0.76
