track	ref	n_orthologs	p5	q25	median	q75	p95
mammal	amphioxus	7250	29.7	41.0	50.5	61.1	78.1
mammal	anole	12133	40.3	57.8	70.5	82.4	94.5
mammal	celegans	3863	25.4	32.8	40.9	52.3	72.2
mammal	chicken	12601	41.7	60.0	72.8	84.2	95.3
mammal	cow	16626	56.4	75.1	85.0	92.4	98.6
mammal	dog	16046	56.4	75.8	85.6	92.9	98.7
mammal	fruitfly	4580	26.9	36.0	45.0	56.9	77.1
mammal	gar	12209	37.2	53.1	65.0	76.7	90.9
mammal	horse	15664	56.9	75.8	85.5	92.7	98.5
mammal	human	17092	58.5	77.2	86.5	93.7	99.0
mammal	lamprey	8227	32.0	45.0	56.0	67.6	84.6
mammal	opossum	14273	46.4	65.8	77.5	87.4	97.0
mammal	pig	16487	56.2	75.5	85.2	92.7	98.6
mammal	platypus	13500	45.3	63.8	75.6	86.3	96.4
mammal	rabbit	14502	56.1	75.2	85.2	92.7	98.6
mammal	rat	18225	76.6	89.3	94.5	97.6	99.7
mammal	seaurchin	6620	28.9	38.8	48.0	59.0	76.4
mammal	xenopus	13270	38.2	55.2	67.3	79.0	92.2
mammal	yeast	1700	23.9	30.6	37.7	49.5	66.6
mammal	zebrafish	12458	35.4	51.0	62.6	74.6	89.3
fish	amphioxus	7369	29.7	40.9	50.6	61.1	78.0
fish	astyanax	17378	47.2	65.5	76.5	85.5	94.9
fish	carp	19864	62.7	79.6	87.5	93.0	97.6
fish	celegans	3937	25.3	32.9	40.8	52.5	71.8
fish	chicken	11427	36.7	52.8	64.4	75.7	89.4
fish	cod	14256	40.8	58.0	69.5	79.7	91.5
fish	coelacanth	12018	37.0	52.7	64.4	75.3	89.3
fish	elephantshark	10764	35.9	51.8	63.3	74.0	87.8
fish	fruitfly	4640	26.8	35.8	45.1	56.7	76.2
fish	fugu	14186	40.7	58.7	70.3	80.4	92.1
fish	gar	13901	41.3	59.0	70.4	80.9	92.7
fish	goldfish	20897	60.7	78.9	87.2	92.9	97.6
fish	grasscarp	12242	35.2	50.9	62.4	74.2	88.8
fish	human	12510	35.3	51.3	63.1	74.7	89.6
fish	lamprey	8351	31.7	45.0	56.4	67.7	84.1
fish	medaka	14896	40.6	58.8	70.4	80.7	92.4
fish	mouse	12458	35.4	51.0	62.6	74.5	89.3
fish	salmon	17184	42.6	61.5	73.1	82.6	92.9
fish	seaurchin	6821	28.7	38.6	48.1	59.0	75.7
fish	sinocyclocheilus	18795	62.1	78.6	86.7	92.4	97.4
fish	tilapia	15507	41.5	59.6	71.5	81.6	92.6
fish	yeast	1723	23.5	30.4	38.2	49.5	67.3
insect	aedes	7027	30.5	43.7	55.5	67.9	85.0
insect	anopheles	6752	30.3	43.5	55.2	67.7	84.8
insect	aphid	5145	27.7	38.2	48.3	61.0	79.3
insect	apis	5681	28.4	39.6	50.4	63.3	82.0
insect	bombyx	6016	27.8	39.2	49.8	62.8	82.0
insect	celegans	3444	24.7	32.4	40.6	52.4	72.2
insect	d_ananassae	11969	47.1	69.7	81.0	89.4	97.2
insect	d_grimshawi	10470	42.9	61.3	73.3	83.6	95.0
insect	d_simulans	10995	77.5	91.9	96.3	98.4	100.0
insect	d_virilis	10988	42.3	61.7	73.8	84.1	95.3
insect	d_yakuba	12833	70.0	86.7	93.1	96.8	99.5
insect	daphnia	4734	28.1	39.2	49.1	61.0	80.1
insect	mouse	4580	26.9	36.0	44.9	56.9	77.0
insect	nasonia	5599	28.5	39.8	50.8	63.6	82.6
insect	tribolium	6073	28.3	40.6	51.3	64.1	82.5
insect	yeast	1535	23.9	30.4	37.9	49.6	67.0
plant_rice	amborella	8923	36.0	50.5	61.8	72.2	85.0
plant_rice	arabidopsis	9405	35.3	49.7	60.6	70.8	84.2
plant_rice	brachypodium	16608	47.1	67.2	77.6	85.4	92.9
plant_rice	chlamydomonas	3112	27.1	36.5	46.3	58.0	75.3
plant_rice	grape	9927	37.2	52.1	62.8	73.0	85.9
plant_rice	leersia	17747	53.9	74.4	84.5	91.3	96.9
plant_rice	maize	15908	47.5	66.5	76.8	84.8	93.2
plant_rice	marchantia	5845	32.9	45.3	55.3	66.4	81.7
plant_rice	moss	6096	32.8	45.0	54.8	65.7	81.1
plant_rice	o_barthii	20693	70.0	92.3	98.1	99.5	100.0
plant_rice	o_brachyantha	17317	55.4	78.2	88.0	93.5	97.8
