track	list_id	go_id	namespace	n_genes	ic	ic_bin	category	name
mammal	SYN_GO0141187	GO:0141187	biological_process	245	5.710	shallow	conserved	nucleic acid biosynthetic process
mammal	SYN_GO0044283	GO:0044283	biological_process	215	5.899	shallow	conserved	small molecule biosynthetic process
mammal	SYN_GO0090407	GO:0090407	biological_process	176	6.188	shallow	conserved	organophosphate biosynthetic process
mammal	SYN_GO0032446	GO:0032446	biological_process	154	6.380	shallow	conserved	protein modification by small protein conjugation
mammal	SYN_GO0006281	GO:0006281	biological_process	140	6.518	shallow	conserved	DNA repair
mammal	SYN_GO0006790	GO:0006790	biological_process	131	6.614	shallow	conserved	sulfur compound metabolic process
mammal	SYN_GO0006511	GO:0006511	biological_process	125	6.681	shallow	conserved	ubiquitin-dependent protein catabolic process
mammal	SYN_GO0046394	GO:0046394	biological_process	114	6.814	shallow	conserved	carboxylic acid biosynthetic process
mammal	SYN_GO0043583	GO:0043583	biological_process	246	5.705	shallow	specific	ear development
mammal	SYN_GO0045087	GO:0045087	biological_process	216	5.892	shallow	specific	innate immune response
mammal	SYN_GO0001525	GO:0001525	biological_process	185	6.116	shallow	specific	angiogenesis
mammal	SYN_GO0060041	GO:0060041	biological_process	162	6.307	shallow	specific	retina development in camera-type eye
mammal	SYN_GO0007292	GO:0007292	biological_process	146	6.457	shallow	specific	female gamete generation
mammal	SYN_GO0007605	GO:0007605	biological_process	134	6.581	shallow	specific	sensory perception of sound
mammal	SYN_GO0016358	GO:0016358	biological_process	123	6.705	shallow	specific	dendrite development
mammal	SYN_GO0021782	GO:0021782	biological_process	115	6.802	shallow	specific	glial cell development
mammal	SYN_GO0098771	GO:0098771	biological_process	250	5.681	shallow	other	inorganic ion homeostasis
mammal	SYN_GO0071396	GO:0071396	biological_process	216	5.892	shallow	other	cellular response to lipid
mammal	SYN_GO0098609	GO:0098609	biological_process	193	6.055	shallow	other	cell-cell adhesion
mammal	SYN_GO0007005	GO:0007005	biological_process	174	6.204	shallow	other	mitochondrion organization
mammal	SYN_GO0050670	GO:0050670	biological_process	156	6.362	shallow	other	regulation of lymphocyte proliferation
mammal	SYN_GO0046942	GO:0046942	biological_process	141	6.508	shallow	other	carboxylic acid transport
mammal	SYN_GO1903311	GO:1903311	biological_process	126	6.670	shallow	other	regulation of mRNA metabolic process
mammal	SYN_GO0045936	GO:0045936	biological_process	118	6.764	shallow	other	negative regulation of phosphate metabolic process
mammal	SYN_GO0009259	GO:0009259	biological_process	102	6.975	mid	conserved	ribonucleotide metabolic process
mammal	SYN_GO0006412	GO:0006412	biological_process	97	7.047	mid	conserved	translation
mammal	SYN_GO1901293	GO:1901293	biological_process	92	7.124	mid	conserved	nucleoside phosphate biosynthetic process
mammal	SYN_GO0019318	GO:0019318	biological_process	84	7.255	mid	conserved	hexose metabolic process
mammal	SYN_GO0072330	GO:0072330	biological_process	76	7.399	mid	conserved	monocarboxylic acid biosynthetic process
mammal	SYN_GO0043161	GO:0043161	biological_process	73	7.457	mid	conserved	proteasome-mediated ubiquitin-dependent protein catabolic process
mammal	SYN_GO0072593	GO:0072593	biological_process	69	7.539	mid	conserved	reactive oxygen species metabolic process
mammal	SYN_GO0016051	GO:0016051	biological_process	65	7.625	mid	conserved	carbohydrate biosynthetic process
mammal	SYN_GO0007498	GO:0007498	biological_process	102	6.975	mid	specific	mesoderm development
mammal	SYN_GO0061008	GO:0061008	biological_process	95	7.077	mid	specific	hepaticobiliary system development
mammal	SYN_GO0048588	GO:0048588	biological_process	90	7.155	mid	specific	developmental cell growth
mammal	SYN_GO0001704	GO:0001704	biological_process	83	7.272	mid	specific	formation of primary germ layer
mammal	SYN_GO0048663	GO:0048663	biological_process	76	7.399	mid	specific	neuron fate commitment
mammal	SYN_GO0002062	GO:0002062	biological_process	72	7.477	mid	specific	chondrocyte differentiation
mammal	SYN_GO0050885	GO:0050885	biological_process	68	7.560	mid	specific	neuromuscular process controlling balance
mammal	SYN_GO0021695	GO:0021695	biological_process	64	7.647	mid	specific	cerebellar cortex development
mammal	SYN_GO0031345	GO:0031345	biological_process	103	6.961	mid	other	negative regulation of cell projection organization
mammal	SYN_GO0009612	GO:0009612	biological_process	95	7.077	mid	other	response to mechanical stimulus
mammal	SYN_GO0030278	GO:0030278	biological_process	90	7.155	mid	other	regulation of ossification
mammal	SYN_GO0043409	GO:0043409	biological_process	83	7.272	mid	other	negative regulation of MAPK cascade
mammal	SYN_GO0030010	GO:0030010	biological_process	78	7.362	mid	other	establishment of cell polarity
mammal	SYN_GO0035082	GO:0035082	biological_process	72	7.477	mid	other	axoneme assembly
mammal	SYN_GO0002637	GO:0002637	biological_process	67	7.581	mid	other	regulation of immunoglobulin production
mammal	SYN_GO2000106	GO:2000106	biological_process	63	7.670	mid	other	regulation of leukocyte apoptotic process
mammal	SYN_GO0072523	GO:0072523	biological_process	59	7.764	deep	conserved	purine-containing compound catabolic process
mammal	SYN_GO0009144	GO:0009144	biological_process	55	7.866	deep	conserved	purine nucleoside triphosphate metabolic process
mammal	SYN_GO0006195	GO:0006195	biological_process	53	7.919	deep	conserved	purine nucleotide catabolic process
mammal	SYN_GO0018212	GO:0018212	biological_process	51	7.975	deep	conserved	peptidyl-tyrosine modification
mammal	SYN_GO0001676	GO:0001676	biological_process	48	8.062	deep	conserved	long-chain fatty acid metabolic process
mammal	SYN_GO0009123	GO:0009123	biological_process	45	8.155	deep	conserved	nucleoside monophosphate metabolic process
mammal	SYN_GO0009308	GO:0009308	biological_process	43	8.221	deep	conserved	amine metabolic process
mammal	SYN_GO0001523	GO:0001523	biological_process	41	8.290	deep	conserved	retinoid metabolic process
mammal	SYN_GO0019226	GO:0019226	biological_process	60	7.740	deep	specific	transmission of nerve impulse
mammal	SYN_GO0035315	GO:0035315	biological_process	57	7.814	deep	specific	hair cell differentiation
mammal	SYN_GO0008286	GO:0008286	biological_process	54	7.892	deep	specific	insulin receptor signaling pathway
mammal	SYN_GO0045446	GO:0045446	biological_process	51	7.975	deep	specific	endothelial cell differentiation
mammal	SYN_GO0035710	GO:0035710	biological_process	49	8.032	deep	specific	CD4-positive, alpha-beta T cell activation
mammal	SYN_GO0007143	GO:0007143	biological_process	46	8.124	deep	specific	female meiotic nuclear division
