Focal	Distance	n	BP	MF	CC
Mammal	near	11	0.82 [0.81-0.84]	0.78 [0.77-0.79]	0.77 [0.76-0.78]
Mammal	mid	4	0.76 [0.72-0.80]	0.73 [0.69-0.77]	0.69 [0.66-0.71]
Mammal	far	5	0.65 [0.62-0.68]	0.62 [0.56-0.66]	0.62 [0.59-0.64]
Mammal	random-term null		0.43	0.44	0.54
Fish	near	9	0.76 [0.76-0.77]	0.53 [0.53-0.54]	0.49 [0.49-0.50]
Fish	mid	8	0.73 [0.71-0.75]	0.54 [0.53-0.55]	0.51 [0.50-0.52]
Fish	far	5	0.59 [0.49-0.66]	0.47 [0.41-0.51]	0.49 [0.44-0.52]
Fish	random-term null		0.48	0.46	0.61
Insect	near	5	0.79 [0.78-0.80]	0.71 [0.70-0.72]	0.76 [0.74-0.77]
Insect	mid	2	0.82 [0.81-0.82]	0.74 [0.72-0.76]	0.79 [0.79-0.80]
Insect	far	9	0.76 [0.73-0.79]	0.69 [0.65-0.72]	0.77 [0.74-0.78]
Insect	random-term null		0.45	0.46	0.57
Plant-R	near	10	0.72 [0.71-0.74]	0.54 [0.53-0.55]	0.33 [0.31-0.34]
Plant-R	mid	9	0.68 [0.61-0.73]	0.50 [0.47-0.52]	0.46 [0.38-0.54]
Plant-R	far	2	0.39 [0.30-0.43]	0.36 [0.33-0.39]	0.33 [0.11-0.44]
Plant-R	random-term null		0.51	0.47	0.64
Plant-A	near	5	0.74 [0.73-0.76]	0.71 [0.69-0.73]	0.66 [0.64-0.67]
Plant-A	mid	9	0.67 [0.65-0.69]	0.64 [0.61-0.66]	0.57 [0.55-0.59]
Plant-A	far	3	0.55 [0.48-0.58]	0.51 [0.47-0.54]	0.52 [0.51-0.52]
Plant-A	random-term null		0.45	0.43	0.55
Fungi	near	1	0.87 [n=1]	0.78 [n=1]	0.87 [n=1]
Fungi	mid	3	0.80 [0.77-0.85]	0.71 [0.67-0.80]	0.77 [0.72-0.85]
Fungi	far	11	0.79 [0.76-0.82]	0.73 [0.70-0.75]	0.79 [0.75-0.82]
Fungi	random-term null		0.48	0.47	0.59
