Focal	accession	n_contrasts	min_size	max_size
Fish	E-MTAB-10068	1	884	884
Fish	E-MTAB-8958	4	1038	1396
Fish	E-MTAB-9113	1	571	571
Fungi	E-GEOD-59814	1	44	44
Fungi	E-MTAB-10511	2	16	21
Fungi	E-MTAB-4651	3	25	276
Fungi	E-MTAB-5174	2	30	261
Insect	E-GEOD-37811	2	102	196
Insect	E-MTAB-2915	2	151	1173
Insect	E-MTAB-5344	3	19	124
Insect	E-MTAB-5470	1	36	36
Mammal	E-ERAD-132	3	2334	5968
Mammal	E-ERAD-181	3	793	4206
Mammal	E-GEOD-130127	2	105	899
Plant-A	E-CURD-29	3	5472	5685
Plant-A	E-GEOD-100371	3	262	1098
Plant-A	E-GEOD-107018	1	174	174
Plant-A	E-GEOD-108730	1	229	229
Plant-R	E-CURD-28	1	11714	11714
Plant-R	E-CURD-37	3	1188	2332
Plant-R	E-GEOD-115371	3	5496	8209
Plant-R	E-MTAB-3834	1	1915	1915
